Code,Description,Price,Remark,
235,Cherries,$3.99,Per lb,
236,Spinach Bag Small,$1.99,Each,
237,Spinach Bag Big,$4.99,Each,
239,Green Chana,$2.99,Per lb,
249,Roasted Peanuts,$2.99,Per lb,
250,Ber Fruit,$1.99,Per lb,
251,Radish,$1.29,Per lb,
255,Parsley,$0.49,Each,
256,Shallot Onion,$1.89,Per lb,
257,Apricots,$2.99,Per lb,
258,Parval,$3.99,Per lb,
259,Tar,$1.99,Per lb,
260,Persimmon,$0.99,Per lb,
261,Indian Thori,$1.49,Per lb,
262,Jackfruit,$1.49,Per lb,
263, Logan Fruit,$2.99,Per lb,
265,Manilla Mango Box,$10.99,Each,
267,Bread Fruit,$1.99,Each,
279,Fresh Yellow Dates,$2.99,Per lb,
280,Summer Squash,$1.99,Per lb,
2800,Butternut Squash,$1.49,Per lb,
282,Banana Leaf,$2.49,Per lb,
287,Red Chilli,$3.99,Per lb,
289,Fava Beans,$1.79,Per lb,
297,Indian Okra,$3.49,Per lb,
302,Jaggery,$1.49,Per lb,
303,Fresh Figs,$3.99,Each,
304,Sugarcane,$3.99,Each,
305,Fresh Kantola,$9.99,Per lb,
901,Red Onion Bag 25lb,$13.99,Each,
902,Yellow Onion Bag 50lb,$24.99,Each,
