Barcode,Description ,Price,Remarks,
8901058895773,Maggi - Hot and Sweet 1 kg,$5.99,,
8906013641471,Jagdish - Farsi Puri 200g,$1.99,,
8906013640375,Jagdish - Farali Chevdo 200g,$1.99,,
8906013645103,Jagdish - Chatpata Khakhra 200g,$2.49,,
8901777165126,Vadilal - Puran Poli 400g,$2.99,,
795130022588,Gullon - Sugar Free Maria Cookies 400g,$3.29,,
840033813723,NIB - Dandiya Pair,$4.99,Taxable,
840033813747,NIB - Dandiya Pair,$4.99,Taxable,
840033813754,NIB - Dandiya Pair,$4.99,Taxable,
8904227329345,Zed Black - Sandalwood Incense Sticks,$1.49,Taxable,
8901777001684,Vadilal - Green Peas 2lb,$4.99,,
840033812573,Veer Organic Rice Flour 2lb,$3.99,,
840033812511,Veer Organic Barley Flour 2lb,$3.99,,
840033812610,Veer Organic Wheat Maida 2lb,$3.99,,
840033812580,Veer Organic Quinoa Flour 2lb,$3.99,,
840033812566,Veer Organic Ragi Flour 2lb,$3.99,,
840033812542,Veer Organic Multigrain Flour 2lb,$4.49,,
20253700000,Sweet Makhana,,Warehouse Generated Code,
8901777325711,Vadilal Currued Patra 11oz,$3.49,,
8904227329321,Zed Black - Oudh Incense Sticks,$1.49,Taxable,
24600010887,Morton - Iodized Sea Salt 1lb,$3.99,Add 0 in Front,
8901058892789,Maggi Masala Noodles 560g,$4.99,,
817602017158,Veer - Curry Powder 800g,$6.99,,
840965003766,MTR - 3 Minute Breakfast Magic Masala Upma 80g,$1.79,,
20350600000,Char Magaz,,Warehouse Generated Code,
8906082650732,Athavale's - Jowar Chakali Sticks 200g,$2.99,,
8906082650176,Athavale's - Methi Mathri 200g,$2.99,,
8906082650572,Athavale's - Batata Chiwada Spicy 200g,$2.99,,
8906082650596,Athavale's - Sabudana Chiwada 200g,$2.99,,
8906082650749,Athavale's - Corn Sticks 200g,$2.99,,
8906082650725,Athavale's - Ragi Chakali Sticks 200g ,$2.99,,
8906147050415,Deccan Fresh - Sunnundalu 200g,$6.99,,
8906147050361,Deccan Lemon Tea 150ml,$2.49,,
8906147050323,Deccan - Plain Tea Decoction 150ml,$2.49,,
8906147050330,Deccan - Masala Tea Decoction 150ml,$2.49,,
8906147050392,Deccan - Sulaimani Tea Decoction 150ml,$2.49,,
8906147050309,Deccan - Ginger Tea Decoction 150ml,$2.49,,
767477102308,Dhanraj Atta - Blue Bag 20lb,$15.99,,
817602015383,Veer - Cumin Powder 800g,$7.49,,
829426706668,Veer - Coriander Powder 800g,$6.99,,
817602018407,NIB - Mango Cake With Egg,$6.99,,
