Barcode,Description ,Price,Remarks,UPC
840033812719,Veer - Organic Sunflower Oil 1 liter,$10.99,,
8906102210885,Marvel Tea - Yellow 500g,$4.99,,
627265001421,Crispy Fruit Cake,$3.99,,
817602018346,NIB - White Bread Eggless,$2.79,,
8904063204523,Haldiram's - Mathi Chat Papdi 130g,$3.49,,
8904063210111,Haldiram's - Karachi Halwa 500g,$8.99,,
846203000115,Chitale Bandu - Bakarwadi 200g,$2.99,,
944325743740,"Satya Sweets, GaneshSweets - Spicy Mullu Murukku 8 oz",$4.99,,
846203001860,Chitale Bandu - Kaju Amba Burfi 250g,$6.99,,
7880009688880,Sabah - Figs and Nuts Snack 80g,$1.89,,
8697407039041,Ephesus - Badam Snack 40g,$1.49,,
8697407037122,Efe - Snacks with Mixed Nuts 60g,$1.79,,
723246187013,Parle - Parle G 56.4g,$0.20,,
8906065031589,Karachi Bakery - Kaju Nankatai 200g,$4.99,,
890023004440,Shreeji - Litchi Candy 200g,$1.99,,
890023004464,Shreeji - Lemon Candy 200g,$1.99,,
840033811989,Veer - Orange Candy 100g,$2.99,,
7622210117793,Cadbury - Eclairs 130g,$2.99,,
80788737,Kinder Joy - 20g,$1.99,,
840033812726,Veer - Coconut Oil 1 liter,$10.99,,
6291007905878,Britannia - Bourbon 780g,$4.79,,
8901063136441,Britannia - Bourbon 390g,$2.79,,
856904001427,Verka - Organic Cashews 454g,$9.49,,
11433160964,Deep - Bhakri Masala 200g,$1.79,Add 0 in Front,
11433160971,Deep - Bhakri Methi 200g,$1.79,Add 0 in Front,
11433160940,Deep - Bhakri Plain 200g,$1.79,Add 0 in Front,
11433160957,Deep - Bhakri Jeera 200g,$1.79,Add 0 in Front,
8904082785645,Kemchho - Dry Jeera Bhakri 200g,$1.49,,
8904082785669,Kemchho - Dry Plain Bhakri 200g,$1.49,,
8904082785652,Kemchho - Dry Methi Bhakri 200g,$1.49,,
8904082785676,Kemchho - Dry Masala Bhakri 200g,$1.49,,
8901063151369,Britannia - Good Day Butter Cookies 231g,$1.99,,
8901063151376,Britannia - Good Day Pistachio Almond Cookies 231g,$1.99,,
8901063151352,Britannia - Good Day Cashew Cookies 231g,$1.99,,
8901063151475,Britannia - Good Day Cashew Cookies 600g,$4.99,,
8901063151482,Britannia - Good Day Butter Cookies 600g,$4.99,,
8901063151499,Britannia - Good Day Pistachio Almond Cookies 600g,$4.99,,
8901262070430,Amul - Milk Chocolate 150g,$3.49,,
8901262070539,Amul - Fruit N Nut 150g,$3.49,,
8901262071048,Amul - Sugarfree Dark 150g,$3.49,,
8901262070843,Amul - Tropical Orange 150g,$3.49,,
8904063251084,Haldiram's - Soan Papdi Veg Oil 500g,$6.49,,
8904063251077,Haldiram's - Soan Papdi Veg Oil 250g,$3.99,,
8904063202505,Haldiram's - Soan Papdi Desi Ghee 250g,$4.49,,
8904063205001,Haldiram's - Soan Papdi Desi Ghee 500g,$7.49,,
856904003605,Verka - Dry Petha 400g,$3.99,,
8904063252456,Haldiram's - Patisa 500g,$8.99,,
610563602414,Desi - Tutti Frutti 7 oz,$3.99,,
9800800094,Nutella & Go 54g,$1.79,Add 00 in Front,
840033811408,Veer - Kothmir Chevdo 200g,$1.99,,
944325743740,Ganesh Bhavan - Spicy Murukku,$4.99,,
72320700069,Hello Panda - Vanilla 60g,$1.89,Add 0 in Front,
72320700045,Hello Panda - Chocolate 60g,$1.89,Add 0 in Front,
72320700281,Hello Panda - Strawberry 60g,$1.89,Add 0 in Front,
72320710013,Yan Yan - Chocolate 57g,$1.75,Add 0 in Front,
72320710020,Yan Yan - Vanilla 57g,$1.75,Add 0 in Front,
72320710037,Yan Yan - Strawberry 57g,$1.75,Add 0 in Front,
845786051675,Hans - Haldi Juice 500ml,$4.49,,
8906024070291,Apna - Amla Juice 500ml,$4.99,,
8906015310115,Kalvert's - Rose Syrup,$2.99,,
8964000122037,Hamdard - Rooh Afza 800ml,$3.99,,
80000099,Shastha Foods - Dry Paan Meetha 100g,$2.99,Add 00000 in Front,
80000020,Shastha Foods - Dry Paan Calcutta 100g,$2.99,Add 00000 in Front,
80000044,Shastha Foods - Dry Paan Gulkand 100g,$2.99,Add 00000 in Front,
80000013,Shastha Foods - Dry Paan Calcutta Gold 100g,$2.99,Add 00000 in Front,
8906040911394,Veer - Pudhina Vathi 200g,$2.99,,
8906040911417,Veer - Imli Ladoo 200g,$2.99,,
8904109410031,Patanjali - Khus Sharbat 750ml,$2.49,,
8904109490583,Patanjali - Aloe Vera Juice 1 liter,$2.99,,
8904109467738,Patanjali - Jamun Vinegar 500ml,$2.49,,
8904018611215,Chandan - 5 in 1 Mouth Freshener,$6.99,,
8904018612519,Chandan - 6 in 1 Mouth Freshener,$6.99,,
68656013218,Surati - Jeera Goli 200g,$2.99,Add 0 in Front,
68656013423,Surati - Kachcha Aam Goli 200g,$2.99,Add 0 in Front,
68656013386,Surati - Anar Goli 180g,$2.99,Add 0 in Front,
8904018621467,Chandan - Mango Khatta Mitha 160g,$2.99,,
8904018657138,Chandan - Flaxseed Mix 130g,$2.99,,
8904083508700,24 Mantra Organic - Tambool Mouth Freshener 100g,$3.99,,
8904018626226,Chandan - Mitha Awla,$2.99,,
856904000178,Verka - Desi Ghee 28oz,$15.99,,
856904000154,Verka - Desi Ghee 7oz,$5.99,,
856904000185,Verka - Desi Ghee 56oz,$23.49,,
856904000147,Verka - Desi Ghee 120oz,$44.99,,
856904000383,Verka - Grassfed Ghee 7oz,$7.99,,
856904000406,Verka - Grassfed Ghee 14oz,$12.99,,
856904000277,Verka - Organic Ghee 7oz,$7.99,,
856904000093,Verka - Organic Ghee 14oz,$13.99,,
817602018889,Veer - Desi Ghee 16oz,$6.99,,
723246286198,Laxmi - Pure Ghee 14oz,$7.49,,
749088803225,India's Nature - Cow Ghee 32oz,$18.99,,
723246286174,Laxmi - Ghee 56ozp,$21.99,,
817602018896,Veer - Desi Ghee 32oz,$11.99,,
817602018902,Veer - Desi Ghee 64oz,$36.99,,
817602018919,Veer - Desi Ghee 1 gallon,$24.99,,
797677300105,Nanak - Desi Ghee 14oz,$8.99,,
797677300204,Nanak - Desi Ghee 28oz,$15.99,,
8901262030151,Amul - Pure Ghee 1 liter,$9.99,,
8904109466199,Patanjali - Amla Chatpata Candy 500g,$5.49,,
841905050017,Aashirvaad - Ghee 900g,$11.99,,
8904109470066,Patanjali - Amla Murabba 500g,$1.99,,
40100009299,Fleischmann's - Rapid Yeast,$2.99,Add a zero in front,
33200011309,Arm & Hammer - Baking Soda 227g,$0.99,Add a zero in front,
8082637094142,Apna - Baking Soda 100g,$1.99,,
8906040911448,Veer - Chatpata Amla 200g,$2.99,,
8904109465208,Patanjali - Pachak Anardana Goli 100g,$3.49,,
8904109490439,Patanjali - Pahak Hing Peda 100g,$3.49,,
8904109470127,Patanjali - Amla Candy 500g,$5.49,,
8908001603058,Apna - Hing Vati 250g,$5.99,,
8908001603034,Apna - Dry Paan 150g,$5.99,,
8901808003441,Weikfield - Corn Flour 500g,$2.99,,
5028217004661,Laziza International - Falooda Mix 200g,$1.99,,
620514000107,National - Kheer Mix 155g,$1.99,,
