Barcode,Description ,Price,,,Remarks
11433161923,Deep Kati Roll Achaari aloo 200gm,$2.79,,,Front - 0
11433161930,Deep Kati Roll Paneer Chili 200gm ,$2.79,,,Front - 0
8904063257390,Haldirams Punjabi Choley Wrap 156gm,$3.49,,,
11433118835,Deep Potato&pea Samosa 636gm,$9.99,,,Front - 0
8904063253682,Haldirams Phulka Roti 900gm 2Lb,$6.99,,,
8904063209931,Haldirams tandoori garlic naan 2 Lb,$6.99,,,
8904063259097,Haldirams Multigrain Chapati 2 Lb,$8.99,,,
8904063259356,Haldrirams Amritsari kulcha 320gm,$4.49,,,
8904063281234,Haldrirams Phulka Roti 360gm,$3.59,,,
8904063259349,Haldrirams Paneer Kulcha 320gm,$4.59,,,
8904063204585,Haldirams Whole wheat naan 320gm,$2.99,,,
8904063205087,Haldirams Masala Lachcha Prantha 360gm,$3.49,,,
8904063210623,Haldirams Methi Prantha 300gm,$3.49,,,
8904063213754,Haldirams Aloo pyaz prantga 400gm,$3.99,,,
11433150118,Deep tandoori onion kulcha 13 Oz,$2.49,,,Front - 0
8904063205070,Haldirams Aloo Gobi Prantha 400gm,$2.99,,,
8901777549643,Vadilal Plain puri 240gm,$2.99,,,
8904063281746,Haldirams aloo tikki 420gm,$4.99,,,
8904063281142,Haldirams Paneer Parantha 400gm,$6.49,,,
8904063281173,Haldirams Mix veg parantha 400gm,$4.79,,,
8904063281197,Haldirams Homestyle Parantha 360gm,$3.49,,,
8904063281180,Haldirams Onion Parantha 400gm,$4.49,,,
8904063259332,Haldirams Aloo Kulcha 320gm,$3.99,,,
8904063208279,Haldirams Aloo Achaari Parantha 400gm,$3.99,,,
8904063281159,Haldirams Gobi Parantha 400gm,$3.99,,,
11433119573,Deep Potato&pea samosas 954gm,$13.99,,,Front - 0
11433031509,Deep Vegrtables Spring Rolls 11.1 Oz,$3.99,,,Front - 0
850010165028,Himalayan Momo Paneer 15 Oz,$6.49,,,
850010165042,Himalayan Momo Chicken 15 Oz,$9.99,,,
860002820835,The everest vegetable momos 12pc 1.35lb,$6.99,,,
9556587101179,Kawan Chaparti 42 Oz,$6.99,,,
8906043881236,Ammas idli value pack 2.2 Lb,$5.99,,,
8901777386774,Vadilal Handmade Jumbo Punjabi Samosa 470gm,$4.99,,,
8901777317082,Vadilal Methi Mutter Malai 10 Oz,$3.99,,,
11433150347,Deep Bhagwatis Surti khaman 11 Oz,$2.49,,,Front - 0
8904063202413,Haldirams Paneer Tikka Masala 10 Oz,$5.49,,,
8904063211361,Haldirams Palak Kofta 10 Oz,$3.99,,,
8904063211859,Haldirams Sambar 10 Oz,$3.99,,,
8904063281593,Haldirams Yellow Dal Tadka 10 Oz,$3.49,,,
11433150170,Deep Masala dosa 14 Oz,$2.79,,,Front - 0
8904063281500,Haldirams Pav bhaji 10 Oz,$5.49,,,
8904063281586,Haldirams Kadhai Paneer 10 Oz,$4.99,,,
8904063209634,Haldirams Punjabi sarson da saag 10 Oz,$5.99,,,
8904063281555,Haldirams Dal makhani 10 Oz,$4.59,,,
8904063281531,Haldirams Mutter Paneer 10 OZ,$4.99,,,
8904063215291,Haldirams Choley kulcha 11.3 Oz,$4.49,,,
11433152914,Deep Ponk with tangy sev 6 Oz,$3.99,,,Front - 0
8904063281616,Haldirams Paneer Makhani 10 Oz,$5.49,,,
11433131810,Deep Chicken Tikka Masala 10 Oz,$4.49,,,Front - 0
8904063255020,Haldirams Coctail Samosa 23 Oz,$7.99,,,
8906110070105,Home roots Paneer tikka masala 300gm,$2.99,,,
8906110070860,Home roots Bhakri Pizza 260gm,$1.99,,,
11433115643,Deep Lilva Kachori 25 Oz,$7.99,,,Front - 0
8904063281517,Haldirams Rajmah Raseela 10 Oz,$4.29,,,
8904063281760,Haldirams Dal Kachori 14.8 Oz,$5.69,,,
8787760032626,Anand vegetable puffs 1 Lb,$3.99,,,
8904063253699,Haldirams Khatti meethi chutney 350gm,$3.49,,,
8904063253712,Haldirams Pani puri concentrate 350gm,$3.99,,,
8904063281579,Haldirams Palak paneer 10 Oz,$4.99,,,
8904063281661,Haldirams Bhindi Masala 10 Oz,$3.49,,,
8904063256782,Haldirams Masala dosa 14 Oz,$3.99,,,
8904063205025,Haldirams Paneer aloo tikki 580gms,$8.99,,,
8906110070389,Home roots sabudana vada 350gm,$3.49,,,
11433150835,Deep bhagwatis Original handvo 11 Oz,$2.49,,,
8904063281777,Haldirams mutter kachori 14.8 Oz,$5.69,,,
11433161602,Deep Puff pastry paneer masala 12.7 Oz,$3.99,,,Front - 0
11433031448,Deep mutter paneer 10 Oz,$2.99,,,Front - 0
8904063213815,Haldirams Vada Pav 9 Oz,$3.99,,,
8904063259288,Haldirams Dahi Kebab 10.6 Oz,$5.49,,,
